feature,importance
opcode_insd,0.0007874169460369039
opcode_paddd,0.000785649805691242
opcode_cdq,0.0007631257099033409
opcode_lfence,0.0007608424623233423
opcode_insb,0.000755591419243102
opcode_jp,0.0007514614709238955
port_445,0.0007506540436434988
opcode_movaps,0.0007323302858705488
opcode_popal,0.0007221607282708287
api_CreateFileW,0.0007026181214132364
opcode_rol,0.00068871633877843
api_ReadFile,0.0006747510255682471
opcode_jg,0.0006392449260395248
opcode_fiadd,0.0006307342534236144
opcode_jno,0.0006244172789232148
opcode_div,0.0005971347688536491
opcode_bound,0.0005963064884841323
opcode_sldt,0.0005708012745328655
opcode_das,0.0005103820514327246
opcode_movsd,0.0005043260315796096
opcode_sete,0.00047440537633933216
opcode_fstp,0.0004612004185840041
opcode_fld,0.0004562995433831261
opcode_in,0.0004400338132088144
opcode_outsb,0.00042667482600419385
opcode_cmovle,0.00040245521013634
opcode_int,0.0003967732326914442
opcode_movsb,0.00038760412331339926
api_CreateThread,0.0003781469171254371
api_RegSetValueExW,0.0003761622389845567
opcode_into,0.000374395943612053
opcode_not,0.00037311619105695156
opcode_daa,0.000360333941569544
opcode_aas,0.00035190601810710374
opcode_aaa,0.0003422695414633957
opcode_rep movsd,0.00033151823292162767
opcode_bt,0.0003013634063549187
opcode_ficom,0.00030100664454966856
opcode_movdqa,0.0002829599921363151
opcode_fcomp,0.00027646180803667244
opcode_loop,0.00027088595123451846
opcode_salc,0.0002661075921565668
opcode_fild,0.0002646313417370629
opcode_lcall,0.0002495528294314502
opcode_out,0.0002466508225245063
opcode_pxor,0.00024375476523854332
opcode_retf,0.00023681497535877594
opcode_enter,0.0002216720945766342
opcode_movd,0.00021098129682074214
opcode_iretd,0.00020586100139226974
opcode_cmpsb,0.0001987749627496353
opcode_fimul,0.0001952755031533598
opcode_fadd,0.000187325127526542
opcode_cli,0.0001787690489434522
opcode_setb,0.0001760300999465538
opcode_fist,0.00017277926306143352
opcode_int1,0.0001713669829633037
opcode_pushfd,0.00016202246664598252
opcode_cld,0.00015829446921156363
api_CreateProcessW,0.00015642849264052756
opcode_fsubr,0.00015592944239120528
api_ShellExecuteExW,0.00015520202169743083
port_443,0.0001523863700245551
api_ReadProcessMemory,0.00014526768148562306
opcode_movss,0.00014425875666750535
opcode_invlpg,0.00014387835403749028
opcode_idiv,0.0001402476840845871
opcode_pushal,0.0001348280957388937
opcode_rcr,0.0001337535597810232
opcode_pshufw,0.00013239237237783254
opcode_lodsd,0.00012949255294253937
opcode_mul,0.00012836197863407649
opcode_cmova,0.00012510215361549536
opcode_fst,0.0001228177608424468
opcode_sti,0.00012255035475085797
opcode_ficomp,0.00011419753514069949
opcode_aam,0.0001115148626863634
opcode_shufps,0.00010839018009672396
opcode_lock xor,0.00010726444201743009
opcode_cwde,0.00010467467837039245
opcode_fisub,0.00010360130930056583
opcode_movsw,0.00010166055001553652
api_ShellExecuteW,9.965081986115542e-05
opcode_wait,9.689889638214706e-05
opcode_prefetchw,8.978790049804892e-05
opcode_stc,8.936273316559374e-05
opcode_clc,8.921945054748367e-05
opcode_scasd,8.900644807940458e-05
opcode_stosb,8.5855908092501e-05
opcode_lds,8.377862476888354e-05
api_WriteProcessMemory,8.369230213196174e-05
opcode_lock inc,8.349867350295196e-05
opcode_cmpsd,8.195858567486259e-05
opcode_btr,7.949313267142236e-05
opcode_lock add,7.776664981374537e-05
opcode_setns,7.707850070386629e-05
opcode_les,7.305115971403573e-05
opcode_fisubr,7.281418471465984e-05
opcode_jecxz,7.079198884379956e-05
opcode_repe cmpsb,7.06278572675677e-05
opcode_loopne,6.987610409364471e-05
opcode_cmovbe,6.901432249477971e-05
opcode_lock cmpxchg,6.620935719953468e-05
opcode_fisttp,6.579021704091339e-05
opcode_lodsb,6.329322542927717e-05
opcode_rcl,6.252615543526064e-05
opcode_psubd,6.034612687781197e-05
opcode_ud2,6.024257922908111e-05
opcode_cmc,5.9320792800719945e-05
opcode_bsf,5.819188286249284e-05
opcode_punpckldq,5.449776893933581e-05
opcode_lahf,5.297974310219749e-05
opcode_rep stosb,5.118264546269003e-05
opcode_fnstsw,5.0670519453187585e-05
api_SetWindowsHookExW,4.6134564198272244e-05
opcode_movntps,4.582990345603786e-05
opcode_cmovs,4.533994592784344e-05
opcode_addps,4.397942414960875e-05
opcode_pslld,4.367431379362066e-05
opcode_aad,4.283762450753033e-05
opcode_popfd,4.153550813951557e-05
opcode_rep movsb,4.077796690800128e-05
opcode_prefetchnta,4.035186271725047e-05
opcode_ljmp,3.969137700585163e-05
opcode_psubusw,3.829087348863099e-05
opcode_hlt,3.80234170400279e-05
opcode_fabs,3.43494943382988e-05
opcode_mulss,3.372594142671554e-05
opcode_cmovns,3.284604493920463e-05
opcode_std,2.9929411090376252e-05
opcode_fmul,2.7991445177412058e-05
opcode_repne scasb,2.724285832707655e-05
opcode_subps,2.5790582051287266e-05
opcode_ucomisd,2.5365069805294288e-05
opcode_lar,2.5277587144121244e-05
opcode_punpcklqdq,2.5092256472720136e-05
opcode_xlatb,2.4243958329135765e-05
opcode_fnop,2.3390087535119098e-05
opcode_sal,2.1152359828308578e-05
opcode_fnsave,1.9529995511534185e-05
opcode_movhps,1.8240120494819592e-05
opcode_addsd,1.737346046804019e-05
opcode_lock or,1.3664231361756835e-05
opcode_loope,1.33850344933957e-05
opcode_fbstp,1.253090752238188e-05
opcode_fidivr,1.1829922694353477e-05
api_CreateRemoteThread,1.1660846486773009e-05
opcode_fcom,1.1211190906218427e-05
opcode_cmovo,1.0723112550990214e-05
opcode_pcmpgtd,9.178522754201354e-06
opcode_bswap,8.95664885877866e-06
opcode_comisd,8.910805626122689e-06
opcode_subss,8.786985702493407e-06
opcode_fidiv,8.616262430847295e-06
opcode_lock dec,8.307051569337856e-06
opcode_outsw,8.15444376517017e-06
api_WinExec,7.873197474798238e-06
opcode_scasb,7.12132860028649e-06
opcode_pcmpgtb,6.264361277092708e-06
opcode_subsd,6.244150182892332e-06
opcode_cmovge,6.244150182892332e-06
opcode_wbinvd,4.717482853574848e-06
opcode_fdivr,2.814809502221609e-06
opcode_fdivrp,1.5959006343621565e-07
opcode_sgdt,3.892909254070852e-08
opcode_psrldq,0.0
opcode_fldcw,0.0
api_URLDownloadToFile,0.0
api_InternetConnect,0.0
api_InternetOpen,0.0
opcode_vmwrite,0.0
opcode_lock sub,0.0
opcode_fpatan,0.0
port_3389,0.0
opcode_sets,0.0
opcode_fcmove,0.0
opcode_cmpxchg,0.0
opcode_paddb,0.0
opcode_fsub,0.0
port_139,0.0
port_143,0.0
opcode_fucomi,0.0
opcode_setl,0.0
opcode_notrack call,0.0
opcode_fldenv,0.0
opcode_seto,0.0
port_135,0.0
opcode_bnd ret,0.0
opcode_movntdq,0.0
opcode_bnd jne,0.0
opcode_cmovb,0.0
opcode_mulsd,0.0
opcode_setg,0.0
opcode_ucomiss,0.0
opcode_frstor,0.0
opcode_cpuid,0.0
opcode_comiss,0.0
opcode_lock bts,0.0
opcode_addss,0.0
opcode_lsl,0.0
opcode_psrlq,0.0
opcode_paddw,0.0
opcode_fxch,0.0
opcode_setle,0.0
opcode_sahf,0.0
opcode_fsin,0.0
opcode_fdisi8087_nop,0.0
opcode_mulps,0.0
opcode_rdtsc,0.0
opcode_ffreep,0.0
opcode_verw,0.0
opcode_fcomi,0.0
opcode_fldz,0.0
opcode_fdiv,0.0
opcode_fistp,0.0
opcode_bndldx,0.0
opcode_insw,0.0
opcode_femms,0.0
opcode_bnd jmp,0.0
opcode_fxam,0.0
opcode_psrld,0.0
opcode_pand,0.0
opcode_popaw,0.0
